Engine,RC,WallSec,Best,Note
"exact",0,"247.83","-7251.9026691900","2026-09-06 02:19 Mac mini M4 (10-core) v1.2.0; best bit-identical to RTX5090 host"
"grid",0,"57.56","-7254.9522016100","2026-09-06 02:24 Mac mini M4 (10-core) v1.2.0; best bit-identical to RTX5090 host; grid/exact 4.31x"
