#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-12.4781313, 20.2094448, 9.8420969, -0.4579252, -0.1792874, -0.6910201, -0.5297657)    0    0   8.42565577  8 4.520 10.38156161
(-4.8542141, 8.6893010, 10.8299160, -0.2574686, -0.7664633, -0.1599388, -0.5662715)    0    0   -65.73766341  1 5.000 -81.99513002
(-7.1355627, 22.9059370, 12.5905336, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.17020117  5 5.000 12.69256790
(-7.2091871, 22.8821858, 12.4826400, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.28344109  3 5.000 12.93687192
(-3.7138769, 25.8373090, 5.3267984, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.59421420  5 0.440 10.93251222
(-12.3336065, 20.3200201, 9.8581477, -0.4579315, -0.1793175, -0.6909992, -0.5297773)    0    0   8.46059340  6 2.840 10.59844884
(-5.6719197, 8.6937406, 10.8024850, -0.2574686, -0.7664633, -0.1599388, -0.5662715)    0    0   -66.38649189  3 5.000 -80.99927210
(-7.7024770, 22.7040965, 12.1946497, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.17617563  4 4.920 12.58848336
(-1.2447778, 21.3557235, 13.1227937, -0.1543445, 0.4711099, 0.8248756, 0.2716864)    0    0   -0.36762904  0 5.000 -0.45953630
(-3.7532206, 25.7617442, 5.7280495, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.92675567  3 4.680 11.45391834
(-3.7406940, 25.7693139, 5.6562879, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.88556181  4 4.840 11.31386386
(-12.5228635, 19.8169622, 9.9537674, -0.4579279, -0.1792999, -0.6910114, -0.5297705)    0    0   8.50944759  5 3.880 10.78641268
(1.1056322, 10.7758228, 10.2530573, 0.1016993, -0.0204925, -0.9750149, -0.1964260)    0    0   -80.67669500  1 5.000 -100.88486033
(-1.2555739, 21.3955981, 13.1088304, -0.1543505, 0.4711003, 0.8248838, 0.2716747)    0    0   -1.01057747  4 5.000 -1.80892955
(-12.0568261, 20.4103195, 9.9322551, -0.4579275, -0.1792982, -0.6910126, -0.5297699)    0    0   8.55376414  4 1.000 10.85255895
(-12.6691659, 20.3150820, 9.7693085, -0.4579294, -0.1793071, -0.6910064, -0.5297733)    0    0   8.44292281  7 4.200 10.56949202
(-7.6596001, 22.7101587, 12.4359720, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.30085197  1 4.520 12.89829870
(-12.5354004, 20.1325557, 9.8592576, -0.4579237, -0.1792798, -0.6910254, -0.5297627)    0    0   8.67911949  0 5.000 10.84889936
(-11.9853791, 20.3719823, 9.9637185, -0.4579274, -0.1792975, -0.6910131, -0.5297696)    0    0   8.56538680  3 5.000 10.73297798
(-3.7491033, 25.7577629, 5.7335708, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.97484605  1 5.000 11.45084606
(-4.0681096, 25.6792605, 5.3189159, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.92966529  2 3.000 11.33553306
(-7.6494042, 22.7137119, 12.4534738, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.29616178  2 5.000 12.91608193
(-12.4704956, 20.2493994, 9.8426808, -0.4579295, -0.1793080, -0.6910058, -0.5297737)    0    0   8.37320453  11 4.040 10.35930435
(-5.2373704, 14.5854825, 17.2910339, 0.0938598, -0.0340451, -0.6857942, -0.7209144)    0    0   3.66351565  0 5.000 4.57939456
(-12.1874199, 20.3818047, 9.9099167, -0.4579294, -0.1793072, -0.6910064, -0.5297734)    0    0   8.40047141  10 0.280 10.37866783
(-12.3831021, 20.1815848, 9.8937110, -0.4579277, -0.1792992, -0.6910120, -0.5297702)    0    0   8.41469232  9 0.440 10.40554310
(-3.8099637, 25.6930899, 6.1282851, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.48686990  0 0.680 10.78050167
(-7.2556835, 22.8643891, 12.4796160, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.31725351  0 5.000 12.89656860
(-3.5794788, 25.8501329, 5.1356939, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.69889560  7 3.560 11.06371023
(-3.9279460, 25.3119893, 6.0540200, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.25107459  0 0.760 10.12715389
(-1.1974945, 21.1557452, 13.1995279, -0.1543484, 0.4711036, 0.8248809, 0.2716788)    0    0   -0.59147826  1 5.000 -0.61873980
(-3.7597834, 25.7861327, 5.2436171, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   9.03095536  0 5.000 11.47178155
(-1.0538640, 20.9877187, 13.1623817, -0.1543467, 0.4711064, 0.8248786, 0.2716821)    0    0   -0.72414920  3 5.000 -0.37508760
(-3.6819815, 25.8358731, 5.0902326, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.79298391  5 1.120 11.37299993
(-3.7612727, 25.7901942, 5.1691815, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.69539015  8 4.120 11.01776193
(1.0719170, 10.5619532, 10.4329748, 0.1016993, -0.0204925, -0.9750149, -0.1964260)    0    0   -79.97624983  0 5.000 -99.97031228
(-12.1432544, 20.1852394, 9.8140773, -0.4579341, -0.1793301, -0.6909904, -0.5297823)    0    0   8.57153273  2 1.880 10.92176438
(-1.3256547, 21.6225751, 13.0377931, -0.1543452, 0.4711089, 0.8248765, 0.2716851)    0    0   -0.67286720  2 5.000 -0.93270638
(-7.0482246, 22.9417673, 12.5411092, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.11243761  7 2.440 12.55270852
(-3.7607108, 25.7878711, 5.2109760, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.68459752  9 3.400 11.04453863
(-4.9536407, 8.6898249, 10.8270982, -0.2574686, -0.7664633, -0.1599388, -0.5662715)    0    0   -65.26102035  0 5.000 -81.57627543
(-3.9783977, 25.6588284, 5.5831917, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.34769653  7 0.360 10.77288332
(-3.6860706, 25.8021704, 5.3314564, -0.5417420, -0.4081724, -0.4023912, 0.6148107)    0    0   8.72968839  6 2.440 11.14762540
(-5.1433768, 8.6908693, 10.8202704, -0.2574686, -0.7664633, -0.1599388, -0.5662715)    0    0   -66.10428100  2 5.000 -82.70065222
(-12.5430559, 20.4136049, 9.7701851, -0.4579330, -0.1793246, -0.6909943, -0.5297801)    0    0   7.99741374  8 0.200 10.11611917
(-7.6925792, 22.6994038, 12.3969677, -0.8523284, -0.3435723, 0.1134709, -0.3776489)    0    0   10.08434684  8 0.440 12.60836836
