#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(0.8333650, 15.0030640, -0.6619000, -0.8386700, -0.0888360, -0.4122570, 0.3446530, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -955.40983542  0 0.600 -2394.77458856
(0.3030860, 14.6915710, -0.1748740, 0.1119510, -0.3126850, -0.8231440, 0.4605740, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -913.16768004  0 0.600 -2289.16920009
(-0.6082050, 13.5923160, 0.8044510, 0.4781220, 0.4868860, -0.2929200, -0.6697310, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -1162.09917454  0 0.600 -2911.49793635
(0.7756070, 14.5656040, 0.3365250, 0.0791470, -0.0398020, -0.7908420, 0.6055750, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -1073.07371786  0 0.600 -2688.93429466
(0.1787750, 13.6726290, -0.9875710, 0.4019470, -0.8384160, 0.0244150, 0.3672900, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -1488.42585725  0 0.600 -3727.31464313
(0.3477420, 13.6944240, 0.5934020, -0.1299340, -0.4552760, -0.6596800, -0.5836630, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -1224.58748554  0 0.600 -3067.71871384
(-0.5964780, 13.9609440, 0.2759360, 0.0685240, 0.0752540, 0.8293260, 0.5494180, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -942.22484517  0 0.600 -2361.81211294
(0.3144030, 14.8608590, 0.3128250, -0.1281760, 0.1823390, 0.9565070, 0.1881960, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -560.35673744  0 0.600 -1407.14184359
(0.2798680, 13.0644160, -0.1570840, 0.9031420, 0.2145500, 0.2148910, -0.3035200, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -1262.54062279  0 0.600 -3162.60155699
(0.6272950, 13.5789700, 0.6509160, -0.4465710, 0.2890730, 0.8171940, -0.2218230, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000)    0    0   -991.86230299  0 0.600 -2485.90575747
