method,pose,tx,ty,tz,exact,grid,diff
dna,26,9.549,-16.666,0.679,-1414.391593,-1415.562453,-1.1708599999999478
dna,27,5.917,21.6,-2.128,-133.127357,-132.806675,0.3206819999999766
dna,28,-2.328,1.908,-0.602,-650.933934,-654.09908,-3.165145999999936
dna,29,1.98,-2.287,-3.209,-1348.791423,-1351.876635,-3.0852120000001833
dna,30,-1.564,1.008,-6.45,-625.638006,-622.569874,3.0681319999999914
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
mj3h,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
mj3h,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
mj3h,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
mj3h,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
mj3h,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
mj3h,12,4.066,3.593,4.868,-0.0,-0.0,0.0
mj3h,13,0.65,6.785,9.923,-0.0,-0.0,0.0
mj3h,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
mj3h,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
mj3h,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
mj3h,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
mj3h,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
mj3h,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
mj3h,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
mj3h,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
mj3h,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
mj3h,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
mj3h,24,4.404,6.321,12.233,-0.0,-0.0,0.0
mj3h,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
mj3h,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
mj3h,27,5.917,21.6,-2.128,-0.0,-0.0,0.0
mj3h,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0
mj3h,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0
mj3h,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0
pydock,0,0.0,0.0,0.0,-364.881264,-365.689651,-0.8083870000000388
pydock,1,2.494,-2.851,-2.208,-567.148266,-566.105212,1.0430539999999837
pydock,2,-18.145,-1.982,-12.084,7.380975,7.321817,-0.059158000000000044
pydock,3,4.739,-4.75,-13.317,15.687384,18.095215,2.407831
pydock,4,-1.08,-0.59,23.956,-588.172918,-589.030753,-0.8578350000000228
pydock,5,4.69,1.493,4.73,-422.480235,-419.975848,2.5043870000000084
pydock,6,-0.246,1.486,3.166,-534.337672,-536.867638,-2.5299660000000586
pydock,7,3.704,-1.518,-0.543,-482.340658,-480.329444,2.0112139999999954
pydock,8,2.228,1.098,-1.144,20.309763,20.932738,0.6229750000000003
pydock,9,-16.055,-0.431,10.143,-21.531448,-24.994605,-3.463156999999999
pydock,10,-0.262,0.804,2.018,-1031.89192,-1034.772656,-2.88073600000007
pydock,11,1.641,-3.143,-3.191,-359.236592,-359.284703,-0.04811100000000579
pydock,12,4.066,3.593,4.868,-608.87742,-613.444312,-4.566891999999939
pydock,13,0.65,6.785,9.923,-851.789178,-850.738732,1.0504459999999654
pydock,14,-3.1,3.333,9.533,-504.305645,-501.40792,2.8977250000000367
pydock,15,-2.423,-5.175,0.131,-708.699859,-711.265865,-2.5660060000000158
pydock,16,-4.491,-8.856,11.659,-477.749194,-474.105962,3.643232000000012
pydock,17,-0.218,9.922,6.546,-313.419687,-316.05268,-2.632992999999999
pydock,18,-0.955,0.542,5.352,-1069.445522,-1071.39793,-1.952408000000105
pydock,19,-11.187,6.316,10.29,-277.161075,-277.040146,0.12092899999998963
pydock,20,-0.554,1.853,7.064,-1853.976299,-1857.836803,-3.8605039999999917
pydock,21,1.369,-5.247,3.232,-1049.529839,-1054.111122,-4.581282999999985
pydock,22,0.07,-5.888,11.303,-1459.041431,-1452.104783,6.936648000000105
pydock,23,-8.225,5.265,-11.431,4.529452,4.126494,-0.4029579999999999
pydock,24,4.404,6.321,12.233,-628.812853,-631.775784,-2.962931000000026
pydock,25,2.91,-14.49,-3.315,-298.96764,-300.357717,-1.3900769999999625
pydock,26,9.549,-16.666,0.679,-430.705698,-431.876558,-1.1708600000000047
pydock,27,5.917,21.6,-2.128,-28.760745,-28.440063,0.32068200000000147
pydock,28,-2.328,1.908,-0.602,-190.364673,-193.52982,-3.1651469999999904
pydock,29,1.98,-2.287,-3.209,-365.103837,-368.18905,-3.08521300000001
pydock,30,-1.564,1.008,-6.45,-221.703965,-218.635834,3.0681310000000224
cpydock,0,0.0,0.0,0.0,9.064345,8.255958,-0.8083869999999997
cpydock,1,2.494,-2.851,-2.208,-18.342355,-17.299301,1.0430540000000015
cpydock,2,-18.145,-1.982,-12.084,7.380975,7.321817,-0.059158000000000044
cpydock,3,4.739,-4.75,-13.317,15.136946,17.544777,2.407831
cpydock,4,-1.08,-0.59,23.956,-52.694522,-53.552357,-0.8578350000000015
cpydock,5,4.69,1.493,4.73,1.651747,4.156134,2.5043869999999995
cpydock,6,-0.246,1.486,3.166,-30.620205,-33.150171,-2.5299660000000017
cpydock,7,3.704,-1.518,-0.543,-10.350207,-8.338993,2.011213999999999
cpydock,8,2.228,1.098,-1.144,26.010232,26.633207,0.6229750000000003
cpydock,9,-16.055,-0.431,10.143,-1.439778,-4.902936,-3.4631580000000004
cpydock,10,-0.262,0.804,2.018,-37.946688,-40.827424,-2.880735999999999
cpydock,11,1.641,-3.143,-3.191,7.46782,7.419709,-0.04811099999999957
cpydock,12,4.066,3.593,4.868,-21.657115,-26.224006,-4.566890999999998
cpydock,13,0.65,6.785,9.923,-52.737763,-51.687316,1.0504469999999984
cpydock,14,-3.1,3.333,9.533,-21.931333,-19.033608,2.8977249999999977
cpydock,15,-2.423,-5.175,0.131,-21.510845,-24.076851,-2.5660060000000016
cpydock,16,-4.491,-8.856,11.659,-3.182814,0.460418,3.6432320000000002
cpydock,17,-0.218,9.922,6.546,-3.642523,-6.275515,-2.632992
cpydock,18,-0.955,0.542,5.352,-60.566856,-62.519265,-1.9524089999999958
cpydock,19,-11.187,6.316,10.29,-15.892214,-15.771285,0.12092899999999851
cpydock,20,-0.554,1.853,7.064,-122.515611,-126.376116,-3.860504999999989
cpydock,21,1.369,-5.247,3.232,-42.404545,-46.985828,-4.581282999999999
cpydock,22,0.07,-5.888,11.303,-78.025417,-71.088769,6.936648000000005
cpydock,23,-8.225,5.265,-11.431,4.529452,4.126494,-0.4029579999999999
