method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
dna,9,-16.055,-0.431,10.143,-125.594765,-127.737678,-2.142913000000007,8.5185,271.53
dna,10,-0.262,0.804,2.018,-3617.384238,-3620.614073,-3.2298350000000937,9.1403,272.2035
dna,11,1.641,-3.143,-3.191,-1300.578667,-1303.906198,-3.327530999999908,8.5506,273.4817
dna,12,4.066,3.593,4.868,-1885.134947,-1893.449332,-8.314384999999902,9.8729,271.6878
dna,13,0.65,6.785,9.923,-2845.101889,-2844.135512,0.9663770000001932,8.5057,272.5825
dna,14,-3.1,3.333,9.533,-1717.24618,-1713.094718,4.151462000000038,9.4119,273.3391
dna,15,-2.423,-5.175,0.131,-2395.097098,-2400.184968,-5.087869999999839,9.2285,275.6419
dna,16,-4.491,-8.856,11.659,-1607.51353,-1601.20917,6.3043599999998605,8.2261,280.8886
dna,17,-0.218,9.922,6.546,-1045.442243,-1046.970745,-1.5285020000001168,9.7637,268.4627
dna,18,-0.955,0.542,5.352,-3538.896184,-3540.920776,-2.024591999999757,7.6774,267.2135
dna,19,-11.187,6.316,10.29,-1033.121934,-1032.582166,0.5397680000000946,8.3127,270.3458
dna,20,-0.554,1.853,7.064,-6335.988402,-6338.349581,-2.3611790000004476,8.9839,336.0326
dna,21,1.369,-5.247,3.232,-3504.42208,-3510.58387,-6.16179000000011,9.1721,283.5037
dna,22,0.07,-5.888,11.303,-4983.011478,-4973.41104,9.600438000000395,9.3921,266.6916
dna,23,-8.225,5.265,-11.431,4.529452,4.235381,-0.29407099999999975,12.2008,270.6267
dna,24,4.404,6.321,12.233,-2246.761287,-2251.401207,-4.639920000000075,10.1558,273.0367
dna,25,2.91,-14.49,-3.315,-1108.605168,-1111.152866,-2.547697999999855,7.6565,266.2779
dna,26,9.549,-16.666,0.679,-1414.391593,-1418.779598,-4.388005000000021,8.9319,266.7859
dna,27,5.917,21.6,-2.128,-133.127357,-132.79708,0.33027699999999527,7.8373,266.5556
dna,28,-2.328,1.908,-0.602,-650.933934,-654.567847,-3.633913000000007,8.1953,268.0427
dna,29,1.98,-2.287,-3.209,-1348.791423,-1355.056344,-6.264921000000186,7.8742,274.4675
dna,30,-1.564,1.008,-6.45,-625.638006,-621.588751,4.0492550000000165,8.0647,274.161
