method,pose,tx,ty,tz,exact,grid,diff
dna,26,9.549,-16.666,0.679,-1414.391593,-1418.779598,-4.388005000000021
dna,27,5.917,21.6,-2.128,-133.127357,-132.79708,0.33027699999999527
dna,28,-2.328,1.908,-0.602,-650.933934,-654.567847,-3.633913000000007
dna,29,1.98,-2.287,-3.209,-1348.791423,-1355.056344,-6.264921000000186
dna,30,-1.564,1.008,-6.45,-625.638006,-621.588751,4.0492550000000165
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
mj3h,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
mj3h,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
mj3h,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
mj3h,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
mj3h,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
mj3h,12,4.066,3.593,4.868,-0.0,-0.0,0.0
mj3h,13,0.65,6.785,9.923,-0.0,-0.0,0.0
mj3h,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
mj3h,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
mj3h,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
mj3h,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
mj3h,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
mj3h,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
mj3h,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
mj3h,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
mj3h,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
mj3h,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
mj3h,24,4.404,6.321,12.233,-0.0,-0.0,0.0
mj3h,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
mj3h,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
mj3h,27,5.917,21.6,-2.128,-0.0,-0.0,0.0
mj3h,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0
mj3h,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0
mj3h,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0
pydock,0,0.0,0.0,0.0,-364.881264,-366.39561,-1.514345999999989
pydock,1,2.494,-2.851,-2.208,-567.148266,-567.816859,-0.6685929999999871
pydock,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371
pydock,3,4.739,-4.75,-13.317,15.687384,19.096584,3.4092000000000002
pydock,4,-1.08,-0.59,23.956,-588.172918,-590.340572,-2.1676539999999704
pydock,5,4.69,1.493,4.73,-422.480235,-418.901924,3.578310999999985
pydock,6,-0.246,1.486,3.166,-534.337672,-534.742092,-0.40441999999995915
pydock,7,3.704,-1.518,-0.543,-482.340658,-477.311614,5.029043999999999
pydock,8,2.228,1.098,-1.144,20.309763,25.079799,4.770036000000001
pydock,9,-16.055,-0.431,10.143,-21.531448,-23.674362,-2.1429139999999975
pydock,10,-0.262,0.804,2.018,-1031.89192,-1035.121755,-3.2298349999998663
pydock,11,1.641,-3.143,-3.191,-359.236592,-362.564123,-3.3275310000000218
pydock,12,4.066,3.593,4.868,-608.87742,-617.191806,-8.314386000000013
pydock,13,0.65,6.785,9.923,-851.789178,-850.822801,0.9663769999999658
pydock,14,-3.1,3.333,9.533,-504.305645,-500.154183,4.151462000000038
pydock,15,-2.423,-5.175,0.131,-708.699859,-713.787729,-5.087870000000066
pydock,16,-4.491,-8.856,11.659,-477.749194,-471.444835,6.304358999999977
pydock,17,-0.218,9.922,6.546,-313.419687,-314.948188,-1.5285010000000057
pydock,18,-0.955,0.542,5.352,-1069.445522,-1071.470113,-2.0245910000001004
pydock,19,-11.187,6.316,10.29,-277.161075,-276.621306,0.5397689999999784
