#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-0.0985838, 17.4251518, -1.7823414, -0.1597040, 0.2009696, 0.9396852, 0.2260479)    0    0   -447.10932810  8 0.440 -533.93135278
(-0.7405328, 16.6176520, -2.1186820, -0.1595335, 0.2007383, 0.9397815, 0.2259735)    0    0   -435.46941752  0 0.880 -504.46645727
(0.0504267, 17.5325881, -1.9138866, -0.1596001, 0.2007911, 0.9397459, 0.2260275)    0    0   -353.52422585  1 1.360 -413.67368208
(-1.8042237, 18.0740093, -2.4453092, -0.1594460, 0.2010576, 0.9397816, 0.2257504)    0    0   -251.11045118  11 0.200 -255.66969106
(0.4081395, 17.7798722, -1.7387192, -0.1594955, 0.2003422, 0.9398412, 0.2261034)    0    0   -452.36634711  1 0.400 -484.87075187
(-1.0837456, 17.0720866, -2.0756458, -0.1595594, 0.2007936, 0.9397618, 0.2259879)    0    0   -435.56551474  3 0.720 -481.74503383
(-2.0009397, 17.9799565, -2.8471118, -0.1594188, 0.2010531, 0.9397936, 0.2257241)    0    0   -173.41260726  5 1.160 -176.81527593
(-2.3878463, 18.3863749, -2.5033219, -0.1594247, 0.2010544, 0.9397912, 0.2257286)    0    0   -165.16463651  3 4.520 -142.87370211
(-1.8924331, 17.8153562, -2.6969120, -0.1594314, 0.2010549, 0.9397882, 0.2257361)    0    0   -203.32119512  7 0.240 -199.88256631
(0.1591244, 17.0440357, -2.2245554, -0.1595788, 0.2002641, 0.9397865, 0.2263408)    0    0   -461.76499019  9 0.320 -502.59735966
(0.4353819, 17.5567410, -1.9813279, -0.1595568, 0.2004446, 0.9398013, 0.2261353)    0    0   -368.73972562  1 1.120 -429.80737022
(-1.2015206, 17.3522614, -2.1311723, -0.1595159, 0.2009563, 0.9397635, 0.2258669)    0    0   -392.73809956  16 0.240 -439.32651386
(0.2669054, 17.2114343, -1.6816484, -0.1588394, 0.1970925, 0.9402481, 0.2277238)    0    0   -537.03375704  15 0.080 -617.23148319
(-0.8126598, 17.6770106, -2.0507320, -0.1595742, 0.2010271, 0.9397298, 0.2259026)    0    0   -337.05320881  4 1.040 -387.94906101
(-0.5643573, 17.5841882, -1.8685437, -0.1595487, 0.2005336, 0.9397859, 0.2261258)    0    0   -431.80359071  5 0.400 -434.87341289
(0.7223851, 17.3272665, -1.9657278, -0.1592685, 0.1990882, 0.9399845, 0.2267741)    0    0   -478.61164687  4 0.400 -490.09393661
(0.0305506, 17.3666020, -1.5802288, -0.1589971, 0.1969155, 0.9401293, 0.2282565)    0    0   -564.17177887  3 0.480 -602.96572539
(-1.8298804, 17.4233980, -2.6284144, -0.1594569, 0.2010601, 0.9397772, 0.2257589)    0    0   -246.51441913  2 0.720 -269.55210566
(-1.9912968, 17.9457088, -2.8096217, -0.1594247, 0.2010543, 0.9397913, 0.2257284)    0    0   -151.79679348  0 3.080 -136.10428563
(-2.0942149, 18.4645030, -2.5244498, -0.1594237, 0.2010541, 0.9397917, 0.2257277)    0    0   -165.42989531  4 5.000 -171.99778317
(0.3871089, 16.3272855, -0.7824529, -0.1579996, 0.1896578, 0.9405777, 0.2331944)    0    0   -859.12545572  4 1.600 -969.45885891
(0.7724399, 16.8926162, -2.1531129, -0.1587634, 0.1970896, 0.9403087, 0.2275289)    0    0   -493.18470703  0 0.880 -510.88950482
(-0.7455691, 17.6486272, -2.0239889, -0.1596550, 0.2010121, 0.9397008, 0.2259797)    0    0   -388.23396562  4 0.640 -408.51747121
